Date,Open,High,Low,Close,Adj Close,Volume
2018-05-18,2.17,2.23,2.15,2.2,2.2,75100
2018-05-21,2.21,2.26,2.18,2.24,2.24,115600
2018-05-22,2.26,2.28,2.15,2.23,2.23,126400
2018-05-23,2.24,2.25,2.04,2.22,2.22,128700
2018-05-24,2.24,2.24,2.1,2.13,2.13,47600
2018-05-25,2.12,2.12,1.97,2.02,2.02,136900
2018-05-29,2.05,2.2,2.05,2.17,2.17,140300
2018-05-30,2.2,2.2,2.06,2.15,2.15,50400
2018-05-31,2.15,2.16,2.06,2.07,2.07,78600
2018-06-01,2.05,2.09,2.02,2.02,2.02,48900
2018-06-04,2.02,2.07,2.02,2.05,2.05,47000
2018-06-05,2.05,2.12,2.05,2.07,2.07,25900
2018-06-06,2.08,2.09,2.05,2.05,2.05,34500
2018-06-07,2.05,2.06,2.03,2.04,2.04,27000
2018-06-08,2.04,2.1,2.04,2.08,2.08,39800
2018-06-11,2.08,2.1,2.06,2.1,2.1,45000
2018-06-12,2.08,2.19,2.08,2.19,2.19,42600
2018-06-13,2.2,2.29,2.16,2.24,2.24,187700
2018-06-14,2.24,2.24,2.0,2.07,2.07,109900
2018-06-15,2.1,2.1,2.02,2.05,2.05,66000
2018-06-18,2.05,2.06,1.78,1.9,1.9,186800
2018-06-19,1.85,1.9,1.81,1.82,1.82,113500
2018-06-20,1.84,1.95,1.83,1.95,1.95,43700
2018-06-21,1.94,1.98,1.85,1.85,1.85,33100
2018-06-22,1.86,1.92,1.85,1.92,1.92,86500
2018-06-25,1.91,1.92,1.9,1.92,1.92,24600
2018-06-26,1.91,1.92,1.89,1.89,1.89,23500
2018-06-27,1.91,1.92,1.91,1.92,1.92,22100
2018-06-28,1.92,1.92,1.86,1.88,1.88,30300
2018-06-29,1.87,1.95,1.87,1.94,1.94,20400
2018-07-02,1.94,1.95,1.88,1.89,1.89,85800
2018-07-03,1.9,1.97,1.9,1.93,1.93,37000
2018-07-05,1.91,1.92,1.89,1.89,1.89,19000
2018-07-06,1.87,1.92,1.86,1.87,1.87,13400
2018-07-09,1.86,1.91,1.82,1.89,1.89,101700
2018-07-10,1.89,1.95,1.87,1.93,1.93,16700
2018-07-11,1.92,1.93,1.88,1.88,1.88,10800
2018-07-12,1.89,1.89,1.84,1.86,1.86,22300
2018-07-13,1.88,1.88,1.81,1.81,1.81,21800
2018-07-16,1.8,1.81,1.55,1.58,1.58,90600
2018-07-17,1.59,1.6,1.5,1.6,1.6,107500
2018-07-18,1.61,1.85,1.61,1.8,1.8,80200
2018-07-19,1.79,1.79,1.68,1.68,1.68,16200
2018-07-20,1.68,1.85,1.67,1.72,1.72,9400
2018-07-23,1.71,1.71,1.69,1.7,1.7,4400
2018-07-24,1.69,1.7,1.6,1.6,1.6,30800
2018-07-25,1.62,1.67,1.62,1.65,1.65,58700
2018-07-26,1.66,1.8,1.66,1.74,1.74,36200
2018-07-27,1.75,1.76,1.66,1.75,1.75,21200
2018-07-30,1.75,1.77,1.73,1.77,1.77,15600
2018-07-31,1.8,1.85,1.8,1.81,1.81,42200
