Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return
2018-06-19,1.85,1.9,1.81,1.82,1.82,113500,-0.042105263157894646
2018-06-20,1.84,1.95,1.83,1.95,1.95,43700,0.0714285714285714
2018-06-21,1.94,1.98,1.85,1.85,1.85,33100,-0.05128205128205121
2018-06-22,1.86,1.92,1.85,1.92,1.92,86500,0.03783783783783767
2018-06-25,1.91,1.92,1.9,1.92,1.92,24600,0.0
2018-06-26,1.91,1.92,1.89,1.89,1.89,23500,-0.015625
2018-06-27,1.91,1.92,1.91,1.92,1.92,22100,0.015873015873015817
2018-06-28,1.92,1.92,1.86,1.88,1.88,30300,-0.02083333333333337
2018-06-29,1.87,1.95,1.87,1.94,1.94,20400,0.03191489361702127
2018-07-02,1.94,1.95,1.88,1.89,1.89,85800,-0.02577319587628868
2018-07-03,1.9,1.97,1.9,1.93,1.93,37000,0.021164021164021163
2018-07-05,1.91,1.92,1.89,1.89,1.89,19000,-0.020725388601036343
2018-07-06,1.87,1.92,1.86,1.87,1.87,13400,-0.01058201058201047
2018-07-09,1.86,1.91,1.82,1.89,1.89,101700,0.010695187165775222
2018-07-10,1.89,1.95,1.87,1.93,1.93,16700,0.021164021164021163
2018-07-11,1.92,1.93,1.88,1.88,1.88,10800,-0.025906735751295318
2018-07-12,1.89,1.89,1.84,1.86,1.86,22300,-0.010638297872340274
2018-07-13,1.88,1.88,1.81,1.81,1.81,21800,-0.026881720430107503
2018-07-16,1.8,1.81,1.55,1.58,1.58,90600,-0.08196721311475397
2018-07-17,1.59,1.6,1.5,1.6,1.6,107500,0.012658227848101333
2018-07-18,1.61,1.85,1.61,1.8,1.8,80200,0.08510638297872353
2018-07-19,1.79,1.79,1.68,1.68,1.68,16200,-0.06666666666666676
2018-07-20,1.68,1.85,1.67,1.72,1.72,9400,0.023809523809523725
2018-07-23,1.71,1.71,1.69,1.7,1.7,4400,-0.011627906976744207
2018-07-24,1.69,1.7,1.6,1.6,1.6,30800,-0.05882352941176461
2018-07-25,1.62,1.67,1.62,1.65,1.65,58700,0.031249999999999778
2018-07-26,1.66,1.8,1.66,1.74,1.74,36200,0.054545454545454675
2018-07-27,1.75,1.76,1.66,1.75,1.75,21200,0.005747126436781658
2018-07-30,1.75,1.77,1.73,1.77,1.77,15600,0.011428571428571344
2018-07-31,1.8,1.85,1.8,1.81,1.81,42200,0.02259887005649719
2018-08-01,1.79,1.89,1.78,1.87,1.87,30700,0.03314917127071837
2018-08-02,1.95,1.98,1.84,1.9,1.9,43700,0.016042780748662944
2018-08-03,1.96,1.96,1.76,1.79,1.79,74100,-0.05789473684210522
2018-08-06,1.81,1.88,1.8,1.86,1.86,27600,0.03910614525139677
2018-08-07,1.86,1.92,1.84,1.9,1.9,26000,0.021505376344086002
2018-08-08,1.91,1.92,1.84,1.86,1.86,14100,-0.021052631578947323
2018-08-09,1.85,1.96,1.71,1.91,1.91,74600,0.026881720430107503
2018-08-10,1.94,1.94,1.71,1.9,1.9,19500,-0.005235602094240788
2018-08-13,1.8,1.88,1.77,1.77,1.77,36300,-0.06842105263157894
2018-08-14,1.84,1.87,1.82,1.87,1.87,19500,0.05649717514124308
2018-08-15,1.86,1.86,1.82,1.84,1.84,25100,-0.016042780748663166
2018-08-16,1.83,1.85,1.81,1.82,1.82,25700,-0.010869565217391353
2018-08-17,1.82,1.86,1.82,1.84,1.84,31200,0.01098901098901095
2018-08-20,1.79,1.84,1.79,1.82,1.82,33700,-0.010869565217391353
2018-08-21,1.81,1.83,1.72,1.79,1.79,9100,-0.016483516483516536
2018-08-22,1.8,1.84,1.8,1.83,1.83,8600,0.022346368715083775
2018-08-23,1.79,1.83,1.79,1.8,1.8,10900,-0.016393442622950838
2018-08-24,1.81,1.9,1.8,1.85,1.85,41500,0.0277777777777779
2018-08-27,1.86,1.87,1.8,1.8,1.8,20000,-0.027027027027027084
2018-08-28,1.8,1.92,1.8,1.86,1.86,49900,0.03333333333333344
2018-08-29,1.88,1.9,1.86,1.9,1.9,6600,0.021505376344086002
2018-08-30,1.9,1.94,1.9,1.93,1.93,37500,0.015789473684210575
2018-08-31,1.95,1.95,1.89,1.95,1.95,62200,0.010362694300518172
2018-09-04,1.95,1.97,1.94,1.96,1.96,59600,0.00512820512820511
2018-09-05,1.93,1.96,1.93,1.93,1.93,4900,-0.015306122448979553
2018-09-06,1.96,2.58,1.93,2.33,2.33,1459400,0.08510638297872353
2018-09-07,2.45,2.45,2.35,2.43,2.43,305600,0.0429184549356223
2018-09-10,2.5,2.7,2.47,2.52,2.52,464100,0.03703703703703698
2018-09-11,2.69,2.7,2.55,2.62,2.62,271100,0.039682539682539764
2018-09-12,2.65,2.97,2.57,2.74,2.74,203000,0.04580152671755733
2018-09-13,2.75,2.75,2.7,2.71,2.71,140600,-0.010948905109489093
2018-09-14,2.64,2.76,2.62,2.72,2.72,144600,0.0036900369003691758
2018-09-17,2.75,2.8,2.75,2.79,2.79,154100,0.025735294117646967
2018-09-18,2.7,2.86,2.6,2.85,2.85,303200,0.021505376344086002
2018-09-19,2.9,3.07,2.83,2.98,2.98,382300,0.04561403508771922
2018-09-20,3.05,3.19,2.98,3.12,3.12,332000,0.046979865771812124
2018-09-21,3.14,3.15,3.04,3.15,3.15,235800,0.009615384615384581
2018-09-24,3.19,3.33,3.1,3.33,3.33,401000,0.05714285714285716
2018-09-25,3.35,3.39,3.11,3.17,3.17,381000,-0.048048048048048075
2018-09-26,3.15,3.34,3.14,3.29,3.29,94600,0.03785488958990535
2018-09-27,3.29,3.35,3.17,3.2,3.2,80000,-0.027355623100303927
2018-09-28,3.2,3.35,3.19,3.19,3.19,145400,-0.0031250000000000444
2018-10-01,3.25,3.54,3.17,3.52,3.52,410100,0.08510638297872353
2018-10-02,3.59,3.8,3.56,3.66,3.66,647500,0.03977272727272729
2018-10-03,3.66,3.95,3.56,3.83,3.83,527200,0.04644808743169393
2018-10-04,3.94,3.95,3.55,3.84,3.84,495200,0.0026109660574411553
2018-10-05,3.84,3.93,3.7,3.75,3.75,412700,-0.0234375
2018-10-08,3.7,4.49,3.6,4.18,4.18,768400,0.08510638297872353
2018-10-09,4.25,4.85,4.25,4.45,4.45,942400,0.06459330143540676
2018-10-10,4.48,4.54,3.31,4.0,4.0,993500,-0.08196721311475397
2018-10-11,3.63,3.88,2.62,3.3,3.3,1081200,-0.08196721311475397
2018-10-12,3.7,3.7,3.2,3.4,3.4,306900,0.030303030303030276
2018-10-15,3.39,3.77,3.39,3.69,3.69,682100,0.08510638297872353
2018-10-16,3.77,4.22,3.69,4.18,4.18,839300,0.08510638297872353
2018-10-17,4.97,4.97,4.05,4.5,4.5,732400,0.07655502392344515
2018-10-18,4.6,4.71,4.43,4.51,4.51,619500,0.0022222222222221255
2018-10-19,4.61,5.03,4.51,4.55,4.55,679900,0.008869179600886845
2018-10-22,4.65,5.05,4.55,5.04,5.04,733500,0.08510638297872353
2018-10-23,4.91,4.91,4.13,4.35,4.35,755800,-0.08196721311475397
2018-10-24,4.41,4.6,4.2,4.23,4.23,392800,-0.027586206896551557
2018-10-25,4.24,4.25,3.39,3.7,3.7,705900,-0.08196721311475397
2018-10-26,3.64,4.17,3.53,4.06,4.06,397700,0.08510638297872353
2018-10-29,4.05,4.13,3.55,3.57,3.57,355400,-0.08196721311475397
2018-10-30,3.51,3.9,3.31,3.75,3.75,315100,0.050420168067226934
2018-10-31,3.81,3.96,3.76,3.96,3.96,250800,0.05600000000000005
2018-11-01,4.0,4.01,3.54,3.73,3.73,528800,-0.058080808080808066
